Body Id,Platform,Primer Color,Topcoat Color,Topcoat Last Used,Ambient Humidity,Ambient Temperature,Paint Temperature,Paint Pressure,Electrical Resistivity,Paint Viscosity,Basecoat Humidity,Basecoat Temperature,Clearcoat Humidity,Clearcoat Temperature,Engine Run Number,Primer Applied,Dust Defect
U3A6L38565,U301,PK02,BK01,16,52.9020767,24.4098587,26.2999992,6.07415724,607,41.35,52.51621628,28.99481201,69.789238,25.019455,1,1,1
VNA6L49664,BLR,MK08,BK12,5,52.9669266,24.4422836,26.2000008,6.39101124,607,41.35,52.51621628,28.99481201,70.3015594,25.019455,1,1,0
VNA6L51372,BLR,PK02,BK01,5,51.9714661,24.5395622,25.7000008,6.24269676,607,41.35,50.46692657,28.99481201,69.8508453,25.0518837,1,1,0
VNA6L49666,BLR,MK08,BK12,5,52.2308693,24.3806763,25.3999996,6.3887639,607,41.35,52.5486412,28.99481201,70.0453949,25.019455,1,1,0
AWA6L10882,W207,MK08,BK12,4,52.645916,24.2509727,24.8999996,6.24719095,607,41.35,52.5486412,28.99481201,69.8508453,25.0518837,2,1,0
VNA6L50733,BLR,MK01,BK16,66,52.9345016,24.1245155,24.8999996,6.37752819,607,41.35,51.52399826,28.99481201,69.980545,25.019455,2,0,0
AWA6L11011,W207,MK08,BK12,4,52.9993515,24.4098587,26.1000004,6.373034,607,41.35,50.4993515,28.99481201,69.9481201,25.0518837,2,1,0
AWA6L10876,W207,MK09,BK11,25,51.8450089,24.8281479,26.5,6.19775295,607,41.35,50.4993515,28.99481201,70.4604416,24.98703,2,1,1
U3A6L38440,U301,MK09,BK11,2,50.9143982,25.0518837,26.2999992,6.36179781,607,41.35,49.47470856,28.99481201,70.3015594,25.019455,2,1,0
U3A6L38456,U301,MK09,BK11,2,51.1089516,24.9546051,26,6.22471905,607,41.35,49.47470856,28.99481201,69.9156952,25.019455,2,1,0
AWA6L11065,W207,PK02,BK01,18,50.3696518,25.0843086,25.7000008,6.31910133,607,41.35,49.47470856,28.99481201,70.0453949,25.019455,3,1,0
VNA6L51375,BLR,PK02,BK01,4,49.3450089,25.2756195,25.2999992,6.28764057,607,41.35,49.47470856,28.99481201,70.1394348,25.019455,1,1,0
AWA6L11164,W207,MK09,BK11,7,50.4020767,25.0843086,25.2000008,6.2831459,607,41.35,49.47470856,28.99481201,69.9156952,25.019455,1,1,0
AWA6L11186,W207,MK08,BK14,1569,50.4993515,25.1167336,25,6.45617962,607,41.35,48.45006561,28.99481201,69.8508453,25.019455,1,1,0
AWA6L11197,W207,MK09,BK11,4,49.5687447,25.4053192,24.7999992,6.21573019,607,41.35,49.47470856,30.30804443,69.980545,25.0518837,1,1,0
AWA6L11191,W207,MK09,BK11,1,50.1134911,25.3728943,25.1000004,6.3393259,607,41.35,49.47470856,30.30804443,69.8508453,25.019455,1,1,0
VNA6L51368,BLR,PK02,BK01,10,50.1783409,25.1167336,26.7000008,6.2943821,607,41.35,46.3651123,30.30804443,70.3015594,25.0518837,1,1,0
